Date,Open,High,Low,Close,Volume,Symbol,ma_7,ma_30,pct_change
2025-11-24,270.9,277.0,270.9,275.92,6.5585796E7,AAPL,274.0214320591518,269.4029988606771,0.0
2025-11-24,270.9,277.0,270.9,275.92,6.5585796E7,AAPL,274.65429251534596,269.51999918619794,0.0
2025-11-25,275.27,280.38,275.25,276.97,4.691422E7,AAPL,275.43715122767856,269.8369995117188,0.38
2025-11-25,275.27,280.38,275.25,276.97,4.691422E7,AAPL,276.22000994001115,270.1539998372396,0.0
2025-11-25,275.27,280.38,275.25,276.97,4.691422E7,AAPL,276.37000819614957,270.4710001627604,0.0
2025-11-25,275.27,280.38,275.25,276.97,4.691422E7,AAPL,276.52000645228793,270.7880004882812,0.0
2025-11-25,275.27,280.38,275.25,276.97,4.691422E7,AAPL,276.67000470842635,271.10500081380206,0.0
2025-11-26,276.96,279.53,276.63,277.55,3.3431424E7,AAPL,276.9028581891741,271.44200032552084,0.21
2025-11-26,276.96,279.53,276.63,277.55,3.3431424E7,AAPL,277.1357116699219,271.7789998372396,0.0
2025-11-26,276.96,279.53,276.63,277.55,3.3431424E7,AAPL,277.21856689453125,272.1159993489583,0.0
2025-11-26,276.96,279.53,276.63,277.55,3.3431424E7,AAPL,277.3014221191406,272.4529988606771,0.0
2025-11-26,276.96,279.53,276.63,277.55,3.3431424E7,AAPL,277.38427734375,272.7899983723958,0.0
2025-11-28,277.26,279.0,275.9865,278.85,2.013562E7,AAPL,277.65284946986606,273.13299865722655,0.47
2025-11-28,277.26,279.0,275.9865,278.85,2.013562E7,AAPL,277.92142159598217,273.4759989420573,0.0
2025-11-28,277.26,279.0,275.9865,278.85,2.013562E7,AAPL,278.10713849748885,273.818999226888,0.0
2025-11-28,277.26,279.0,275.9865,278.85,2.013562E7,AAPL,278.2928553989955,274.16199951171876,0.0
2025-11-28,277.26,279.0,275.9865,278.85,2.013562E7,AAPL,278.4785723005022,274.5049997965495,0.0
2025-12-01,278.01,283.42,276.14,283.1,4.658772E7,AAPL,279.2714320591518,275.06666666666666,1.52
2025-12-01,278.01,283.42,276.14,283.1,4.658772E7,AAPL,280.06429181780135,275.6283335367838,0.0
2025-12-01,278.01,283.42,276.14,283.1,4.658772E7,AAPL,280.6714346749442,276.19000040690105,0.0
2025-12-01,278.01,283.42,276.14,283.1,4.658772E7,AAPL,281.27857753208707,276.7516672770182,0.0
